site_da_vaga,link_site,link_origem,data_publicacao,data_expiracao,data_coleta,posicao,senioridade,titulo_da_vaga,nome_empresa,cidade,estado,modalidade,contrato,regime,pcd,codigo_vaga,descricao
Glassdoor,"https://www.glassdoor.com.br/job-listing/data-scientist-bcg-x-boston-consulting-group-JV_IC2479061_KO0,20_KE21,44.htm?jl=1008902756526",www.glassdoor.com.br/Vaga/index.htm/partner/jobListing.htm?pos=101&ao=1136043&s=344&guid=0000018db6d79db1a14c06a0b28ce21f&src=GD_JOB_VIEW&t=NS&vt=w&cs=1_163e9e73&cb=1708169600608&jobListingId=1008902756526&jrtk=5-yul1-3-1hmrdf7epikq6801,2024-02-02,,2024-02-17,data scientist,,Data Scientist – BCG X,Boston Consulting Group,São Paulo,SP,,,,,1008902756526,"Who We Are
BCG X is the tech build & design unit of BCG. Turbocharging BCG’s deep industry and functional expertise, BCG X brings together advanced tech knowledge and ambitious entrepreneurship to help organizations enable innovation at scale. With nearly 3,000 technologists, scientists, programmers, engineers, and human-centered designers located across 80+ cities, BCG X builds and designs platforms and software to address the world’s most important challenges and opportunities. Teaming across our practices, and in close collaboration with our clients, our end-to-end global team unlocks new possibilities. Together we’re creating the bold and disruptive products, services, and businesses of tomorrow

To succeed, organizations must blend digital and human capabilities. Our diverse, global teams bring deep industry and functional expertise and a range of perspectives to spark change. BCG delivers solutions through leading-edge management consulting along with technology and design, corporate and digital ventures—and business purpose. We work in a uniquely collaborative model across the firm and throughout all levels of the client organization, generating results that allow our clients to thrive.
What You'll Do
Our BCG X teams own the full analytics value-chain end to end: framing new business challenges, designing innovative algorithms, implementing, and deploying scalable solutions, and enabling colleagues and clients to fully embrace AI. Our product offerings span from fully custom-builds to industry specific leading edge AI software solutions.

Our Data Scientists and Senior Data Scientist are part of our rapidly growing team to apply data science methods and analytics to real-world business situations across industries to drive significant business impact. You'll have the chance to partner with clients in a variety of BCG regions and industries, and on key topics like climate change, enabling them to design, build, and deploy new and innovative solutions.

Additional responsibilities will include developing and delivering thought leadership in scientific communities and papers as well as leading conferences on behalf of BCG X. Successful candidates are intellectually curious builders who are biased toward action, creative, and communicative.
We are looking for dedicated individuals with a passion for data science, statistics, operations research and redefining organizations into AI led innovative companies. Successful candidates possess the following:
Comfortable in a client-facing role with the ambition to lead teams
Likes to distill complex results or processes into simple, clear visualizations
Explain sophisticated data science concepts in an understandable manner
Love building things and are comfortable working with modern development tools and writing code collaboratively (bonus points if you have a software development or DevOps experience)
Significant experience applying advanced analytics to a variety of business situations and a proven ability to synthesize complex data
Deep understanding of modern machine learning techniques and their mathematical underpinnings, and can translate this into business implications for our clients
Have strong project management skills

TECHNOLOGIES:
Programming Languages: Python


FOR U.S. APPLICANTS: Boston Consulting Group (“BCG”) is an Equal Opportunity/Affirmative Action employer. All qualified applicants will be considered for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by applicable law.

The first-year base compensation for this role is:
Data Scientist I: $110,000 USD
Data Scientist II: $145,000 USD
Data Scientist III: $160,000 USD
Senior Data Scientist: $190,000 USD

BCG offers a comprehensive benefits program, including medical, dental and vision coverage, telemedicine services, life, accident and disability insurance, parental leave and family planning benefits, caregiving resources, mental health offerings, a generous retirement program, financial guidance, paid time off, and more."
Glassdoor,"https://www.glassdoor.com.br/job-listing/analista-de-dados-iefe-evolu%C3%A7%C3%A3o-educacional-JV_IC2479061_KO0,17_KE18,43.htm?jl=1009123557321",www.glassdoor.com.br/Vaga/index.htm/partner/jobListing.htm?pos=101&ao=1136043&tgt=APPLY_START&s=344&guid=0000018db6d7c7ecbdfc4b78fe44c98e&src=GD_JOB_VIEW&t=NS&vt=w&ea=1&cs=1_b0817dae&cb=1708169611361&jobListingId=1009123557321&jrtk=5-yul1-3-1hmrdfi09jquh801,2024-02-13,,2024-02-17,analista de dados,,Analista de Dados,IEFE EVOLUÇÃO EDUCACIONAL,São Paulo,SP,,,,,1009123557321,"*Sobre Nós*Somos o único instituto que proporciona uma verdadeira transformação na vida dos profissionais da educação, levando evolução, conhecimento e oportunidades através de seus cursos, que resultam em profissionais confiantes e capacitados, prontos para multiplicar essa transformação na vida de seus alunos nos ambientes escolares.Nossos cursos possuem formação profissional e gerencial, que em parceria com Faculdades e Universidades credenciadas pelo Ministério da Educação, conseguem aproveitar de maneira inteligente as experiências e aprendizados.Juntamos toda essa estrutura com aulas dinâmicas e diferenciadas, trazendo cada vez mais sucesso profissional e pessoal para nossos formandos.*Visão Geral da Vaga:*Estamos em busca de um Analista de dados que possa mapear e gerenciar todos os processos internos de cada departamento, criar métricas e Indicadores como KPI, OKR, APO, BSC entre outros métodos de análise de performance para que todos os departamentos consigam ter uma maior perfomance com o próposito de atingir os objetivos de crescimento da empresa, além de ter previsibilidade de resultados.*Responsabilidades:*Mapear os processos de cada departamento.Coletar, organizar, analisar e interpretar grandes conjuntos de dados para fornecer insights valiosos e apoiar a tomada de decisões estratégicasDefinir Métricas e Indicadores de Sucesso para cada departamento (Kpis, OKRs entr outros )Definir os objetivos da análise, compreendendo as necessidades e requisitos da EmpresaProjetar, criar e implementar soluções de BI (por exemplo, ferramentas de emissão de relatórios, Dashboard entre outros.)Acompanhar tendências do mercado educacional e fornecer insights relevantes para otimização dos nossos processos e tomada de decisões.*Requisitos:*Experiência prévia em coleta e análise de dados.Excelentes habilidades de comunicação verbal e escrita.Capacidade comprovada de mapear processos e otimiza-los através de coleta de dados para tomada de decisõesMentalidade proativa e orientada para resultados.Capacidade de entender as necessidades dos nossos clientes e apresentar soluções relevantes.Formação de ensino superior a áreas relacionadas é desejável, mas não obrigatória.*Oferecemos:*Salário Fixo - R$ 3.000,00Vale Transporte + Vale Alimentação + Seguro de Vida + Convênio OdontológicoPLR + Bônus por metas atingidasSe você é um profissional ambicioso e apaixonado por resultados, e deseja fazer parte de uma equipe dedicada a capacitar profissionais da área da educação por meio de cursos relevantes, Faça parte do nosso time. Aguardamos ansiosamente para receber sua candidatura!Tipo de vaga: Tempo integral, Efetivo CLTSalário: R$3.000,00 por mêsBenefícios:Assistência odontológicaSeguro de vidaVale-alimentaçãoVale-transporteHorário de trabalho:Turno de 8 horasTipos de pagamento adicional:BônusPergunta(s) de seleção:O que despetou seu interesse na Vaga?Quais são seus sonhos e objetivos pessoais e profissionais?Descreva como você poderia contribuir com a nossa empresa atuando nesta vaga?Você tem fácil acesso a região da Vila Formosa (Zona Leste - SP)?Você ja atuou como Analista de Dados?  DescrevaPor que você gostaria de trabalhar nessa vaga e em nossa empresa?"
Glassdoor,"https://www.glassdoor.com.br/job-listing/analista-de-dados-huork-com-JV_IC2402386_KO0,17_KE18,27.htm?jl=1008973849303",www.glassdoor.com.br/Vaga/index.htm/partner/jobListing.htm?pos=101&ao=1136043&s=344&guid=0000018db6d7f06a8994b2a3d6fdf199&src=GD_JOB_VIEW&t=NS&vt=w&cs=1_25fa3d44&cb=1708169621732&jobListingId=1008973849303&jrtk=5-yul1-3-1hmrdfs46ipai801,2024-02-10,,2024-02-17,analista de dados,,Analista de Dados,Huork.com,Rio de Janeiro,RJ,,,,,1008973849303,"Analista de Dados

Local: Rio de Janeiro

Salário: Enviar pretensão salarial

Benefícios:
Vale Refeição ou Alimentação
Vale Transporte
Assistência Médica e Odontológica
Convênios Educacional.

Atribuições e responsabilidades do cargo:
Realizar a coleta, organização e análise dados de diversas fontes para identificar insights e oportunidades de negócios;Desenvolver e manter relatórios e dashboards em Power BI;Criar e manter pipelines de dados usando Power Query M;Realizar a modelagem de dados e a criação de relacionamentos para permitir análises mais complexas;Realizar consultas ad hoc e análises de dados para atender a demandas específicas;Identificar problemas de qualidade de dados e propor soluções para melhorá-los;Trabalhar em conjunto com outros membros da equipe de BI e stakeholders de negócios para entender as necessidades e requisitos de análise de dados.Atuar na área de inteligência

Pré-requisitos:
Possuir Ensino superior em áreas correlacionadas e/ou cursos de especializações na área;Conhecimentos sólidos em bancos de dados e linguagem SQL;Capacidade de programação em linguagens como Power Query M e DAX;Conhecimento em ferramentas de visualização de dados, como o PowerBI;Habilidade em análise de dados e estatística básica;Capacidade de comunicar insights e informações de forma clara e concisa;Habilidade em resolução de problemas e tomada de decisão baseada em dados;Conhecimento em metodologias de gestão de projetos, como Agile ou Scrum;Capacidade de trabalhar em equipe e colaborar com outros membros da equipe de BI e stakeholders de negócios.Trabalho 100% presencialPossuir fácil acesso a Bonsucesso

Horário de trabalho: De segunda a sexta-feira das 08h às 17:45h
Contratação: CLT"
Glassdoor,"https://www.glassdoor.com.br/job-listing/analista-de-dados-pleno-stefanini-group-JV_KO0,23_KE24,39.htm?jl=1009130220184",www.glassdoor.com.br/Vaga/index.htm/partner/jobListing.htm?pos=101&ao=1136043&s=344&guid=0000018db6d8206fadb1b56aeffae9dd&src=GD_JOB_VIEW&t=NS&vt=w&cs=1_b2e844d9&cb=1708169634004&jobListingId=1009130220184&jrtk=5-yul1-3-1hmrdg84cje3s801,2024-02-16,,2024-02-17,analista de dados,,Analista de Dados Pleno,Stefanini Group,,,trabalho remoto,,,,1009130220184,"Somos a maior multinacional brasileira e estamos entre as 100 maiores empresas de TI do mundo.
Estamos presentes em 41 países com +30k colaboradores. A Stefanini tem como principal objetivo auxiliar os clientes a encontrar, por meio de soluções personalizadas, a maneira ideal para alcançar seus desafios, impulsionando a inovação digital.
E queremos mais!
Responsabilidades e atribuições
O que esperamos que você realize:
Migração de fluxos de captura, transformação e visualização de dados do ambiente legado (SAS, Teradata, Tableau, etc) para a AWS.
Experiência sólida em AWS.
Requisitos e qualificações
O que precisamos que você tenha de conhecimento:
Requisitos essenciais:Experiência comprovada em projetos de migração de dados para a AWS.Conhecimento sólido em serviços AWS, incluindo, mas não se limitando a: S3, Lambda, Glue, Redshift, EMR, entre outros.Experiência em arquitetura e implementação de soluções de captura e transformação de dados.Habilidade para trabalhar em colaboração com equipes multidisciplinares.Certificações AWS serão consideradas uma vantagem.Excelentes habilidades de resolução de problemas e comunicação.
Informações adicionais
O que te oferecemos:
Vale Alimentação ou Vale Refeição;
Desconto em cursos, universidades e instituições de idiomas;
Academia Stefanini - plataforma com cursos online, gratuitos, atualizados e com certificado;
Mentoring;
Auxílio Creche;
Clube de vantagens para consultas e exames;
Assistência Médica;
Assistência Odontológica;
Clube de vantagens e descontos nos melhores estabelecimentos;
Atendimento psicológico online ao colaborador e seus dependentes;
Clube de viagens;
Convênio para Pet;
e muito mais...
Somos uma multinacional brasileira com mais de 30 anos de atuação no ecossistema de inovação.

Entregamos soluções eficazes que auxiliam os nossos clientes em suas jornadas digitais, sempre aplicando o nosso propósito de tornar a tecnologia um agente de mudança para um mundo melhor. Você quer transformar o futuro? A gente também.

| + de 40 países | + de 30 empresas no Grupo | + de 30 mil colaboradores | + de 80 soluções |
7 pilares guiam a nossa cultura, são eles:
Inovar com o cliente;
Fazer a diferença;
Liderar pelo exemplo;
Agir como empreendedor;
Ser ético e de acordo com o que fala;
Acreditar e respeitar as pessoas;
Ter humildade em aprender.
Acreditamos que a verdadeira mudança só pode ser alcançada quando observamos o mundo por diferentes perspectivas, aqui a inovação floresce em uma atmosfera de respeito mútuo, em que as ideias são ouvidas e valorizadas independentemente de raça, cor, orientação sexual, ascendência, religião, gênero, nacionalidade, identidade de gênero, deficiência ou idade. #WeAreStefanini #OrgulhoDeSerStefanini #CarreiraStefanini
Prêmio Innovative Workplaces Brasil 2023 pela MIT Technology Review Brasil."
Glassdoor,"https://www.glassdoor.com.br/job-listing/analista-de-dados-pleno-serasa-JV_IC2422860_KO0,23_KE24,30.htm?jl=1009088260103",www.glassdoor.com.br/Vaga/index.htm/partner/jobListing.htm?pos=101&ao=1136043&s=344&guid=0000018db6d8399c9afb8219cd0c6476&src=GD_JOB_VIEW&t=NS&vt=w&cs=1_4eb014d0&cb=1708169640468&jobListingId=1009088260103&jrtk=5-yul1-3-1hmrdgedrj4q1801,2024-01-23,,2024-02-17,analista de dados,,Analista de Dados Pleno,Serasa,Blumenau,SC,,,,,1009088260103,"Analista de Dados Pleno
Full-time
Employee Status: Regular
Role Type: Hybrid
Department: Information Technology & Systems
Schedule: Full Time
Company Description
Somos uma empresa global, líder em serviços de informação, conhecida no restante do mundo como Experian. Nos grandes momentos da vida, como a compra de um carro, a ida de um filho para a faculdade ou mesmo a abertura e expansão de um negócio, estamos presentes para empoderar consumidores e clientes a administrarem seus dados com confiança.
Contamos com mais de 20.000 pessoas operando em mais de 44 países; e, ao investirmos nelas, em tecnologia e em inovação, podemos ajudar negócios a se transformar e comunidades a prosperar, permitindo que mais pessoas se sintam incluídas nas oportunidades disponíveis. É dessa forma que todos os dias entregamos o nosso propósito de criar um futuro melhor.
Venha descobrir um mundo inesperado com a gente.
Job Description
Área: Produto Limpa Nome
Subárea: Produto
Utilizar habilidades em SQL para analisar dados relacionados à cobrança e performance de parceiros;
Desenvolver consultas SQL para extrair informações relevantes;
Criar dashboards e visualizações, preferencialmente no Tableau;
Realizar análises de dados voltadas para otimização da performance de parceiros;
Colaborar com as equipes de cobrança e parcerias para fornecer insights e impulsionar iniciativas estratégicas.
Qualifications
Formação na área de exatas;
Vivência na área de analise de dados dentro do mercado financeiro, diferencial caso seja na área de cobrança;
Expertise com SQL;
Conhecimento em Databricks;
Vivência com ferramentas de visualização de dados como Tableu ou Power BI
Additional Information
Temos importantes reconhecimentos do mercado como selo Ideia Sustentável e WEPS – Empresas empoderando mulheres. Além disso, fomos considerados, pela quinta vez consecutiva, uma das empresas mais inovadoras do mundo pela revista Forbes.
Temos muito cuidado com o bem-estar dos nossos colaboradores! Em nossos escritórios, mantemos uma estrutura que conta com diversos profissionais e serviços ligados à saúde como massagem, RPG, psicólogo, sala de relaxamento e muito mais! Além disso, temos alguns benefícios diferenciais como licença maternidade e paternidade estendida, horário de trabalho flexível, programa de participação nos lucros e resultados e o Share Saving - programa de ações para todos os funcionários da Experian!
E ainda tem mais! Não deixe de acessar a nossa página de carreiras para conhecer todos os nossos benefícios e diferenciais!
Não atendeu todas as competências descritas na vaga? Estudos mostram que mulheres, pessoas não brancas e PcD deixam de se candidatar em vagas que não atendam 100% dos requerimentos. Aqui na Serasa Experian nós somos dedicados a criar um ambiente diverso e inclusivo. Se você gostou dessa vaga, mas sua experiência não se encaixa totalmente, não se preocupe, nós te encorajamos a se aplicar de qualquer forma para que seu perfil seja avaliado!
#LI-HYBRID
Experian Careers - Creating a better tomorrow together
I'm interested
Privacy Policy
Cookies Settings"
Glassdoor,"https://www.glassdoor.com.br/job-listing/cientista-de-dados-pleno-venha-ser-sanguelaranja-JV_KO0,24_KE25,48.htm?jl=1009066067028",www.glassdoor.com.br/Vaga/index.htm/partner/jobListing.htm?pos=101&ao=1136043&s=344&guid=0000018db6d89353a1605dc6d5eef4e1&src=GD_JOB_VIEW&t=NS&vt=w&cs=1_715a4f47&cb=1708169663436&jobListingId=1009066067028&jrtk=5-yul1-3-1hmrdh4riikf0801,2024-02-09,,2024-02-17,cientista de dados,,Cientista de Dados - Pleno,VENHA SER #SANGUELARANJA,,,trabalho remoto,,,,1009066067028,"A FCamara está em busca de um(a) Cientista de Dados para atuar em parceria com um de nossos clientes do segmento varejista.
Responsabilidades e atribuições

Coletar, qualificar e tratar grandes conjuntos de dados para análise.
Desenvolver e implementar modelos preditivos utilizando técnicas avançadas de machine learning.
Colaborar com as equipes de negócios para entender os requisitos e objetivos.
Avaliar a eficácia dos modelos e ajustá-los conforme necessário.
Criar visualizações de dados e relatórios para comunicar insights de maneira compreensível.
Ficar atualizado com as últimas tendências e avanços em ciência de dados e machine learning.

Requisitos e qualificações
Requisitos e qualificações:
Pelo menos 3 anos de experiência prática em ciência de dados ou papel relacionado.
Experiência comprovada na aplicação de técnicas de machine learning para resolver problemas do mundo real.
Graduação em Ciência da Computação, Estatística, Matemática, Engenharia ou campo relacionado. Mestrado ou doutorado é uma vantagem.
Hard Skill:
Tecnologias e experiências necessárias para a vaga
Forte experiência em linguagens como Python ou R.
Conhecimento profundo em bibliotecas como TensorFlow, PyTorch e scikit-learn.
Excelentes habilidades em SQL para manipulação eficiente de dados.
Experiência com ferramentas de visualização de dados, como Tableau ou Power BI.
Conhecimentos Específicos:
Sólido entendimento estatístico e matemático.
Familiaridade com técnicas de pré-processamento de dados, feature engineering e seleção de modelos.
Conhecimento prático em deep learning é uma vantagem.
Soft Skill:
Perfil comportamental requerido pelo cliente
Habilidades de comunicação eficazes para explicar resultados complexos de forma compreensível.
Capacidade de trabalhar de forma colaborativa em equipe multidisciplinar.
Pensamento crítico e habilidades de resolução de problemas.

Informações adicionais
Aqui somos #SangueLaranja!
Estamos há 16 anos no mercado, lado a lado com nossos clientes, proporcionando experiências transformadoras.
Somos um ecossistema de tecnologia e inovação, com expansão global; atuamos no Brasil, Portugal e Reino Unido.
F de Formação: acreditamos na prática da cultura do compartilhamento, no senso de comunidade, e que o conhecimento
tem o poder da transformação!
Possuímos iniciativas, e ações sociais, que promovem o desenvolvimento, como a comunidade tech Orange Juice, o Programa de Formação,
nossa escola de liderança e diversas parcerias com ONGs e Edtechs.
Na FCamara todos são bem-vindos, para nós, Diversidade, Respeito e Ética, são elementos inegociáveis e fazem parte do nosso DNA.
E aí, está pronto para fazer parte de um time incrível e ser protagonista da própria história?"
Glassdoor,"https://www.glassdoor.com.br/job-listing/analista-de-dados-setup-tecnologia-JV_IC2387909_KO0,17_KE18,34.htm?jl=1009125500358",www.glassdoor.com.br/Vaga/index.htm/partner/jobListing.htm?pos=101&ao=1136043&tgt=APPLY_START&s=344&guid=0000018db6d8c82ea09dd8d90b419e31&src=GD_JOB_VIEW&t=NS&vt=w&ea=1&cs=1_955b411f&cb=1708169676946&jobListingId=1009125500358&jrtk=5-yul1-3-1hmrdhi28jqug801,2024-02-14,,2024-02-17,analista de dados,,Analista de Dados,Setup Tecnologia,Curitiba,PR,,,,,1009125500358,"Analista de Dados - Nível PlenoResponsabilidades:Desenvolver e manter soluções automatizadas utilizando VBA (Visual Basic for Applications) para melhorar a eficiência e a precisão na manipulação de dados.Gerar consultas complexas em SQL (Structured Query Language) para extrair, transformar e carregar dados de diversas fontes.Administrar e otimizar bancos de dados utilizando SGBD Access (Microsoft Access), garantindo a integridade, segurança e desempenho.Criar dashboards interativos e relatórios analíticos utilizando Microsoft Power BI para fornecer insights valiosos aos stakeholders.Colaborar com equipes multidisciplinares para entender os requisitos de dados e fornecer soluções técnicas eficazes.Requisitos:Experiência sólida em programação VBA (Visual Basic for Applications).Conhecimento avançado em SQL (Structured Query Language).Proficiência em administração de bancos de dados, preferencialmente com SGBD Access.Experiência prática no desenvolvimento de dashboards e relatórios usando Microsoft Power BI.Habilidade para analisar e interpretar requisitos de dados complexos.Excelentes habilidades de comunicação e capacidade de trabalhar efetivamente em equipe.Experiência anterior em posição similar será considerada um diferencial.Se você é apaixonado por dados, possui habilidades técnicas sólidas e busca um ambiente desafiador, esta pode ser a oportunidade ideal para você. Junte-se à nossa equipe e faça parte do processo de transformação e otimização de dados em informações estratégicas.Tipo de vaga: Tempo IntegralSalário: R$4.000,00 - R$6.000,00 por mêsHorário de trabalho:De segunda à sexta-feiraPergunta(s) de seleção:Você reside em Curitiba e Região?Você possui disponibilidade para trabalho 100% presencial?Tem disponibilidade para início imediato?"
Glassdoor,"https://www.glassdoor.com.br/job-listing/cientista-de-dados-s%C3%AAnior-totvs-JV_KO0,25_KE26,31.htm?jl=1009111711794",www.glassdoor.com.br/Vaga/index.htm/partner/jobListing.htm?pos=101&ao=1136043&s=344&guid=0000018db6d8e50f98ea43c4242439f2&src=GD_JOB_VIEW&t=NS&vt=w&cs=1_ebc4a155&cb=1708169684352&jobListingId=1009111711794&jrtk=5-yul1-3-1hmrdhp9aikf0801,2024-02-05,,2024-02-17,cientista de dados,,Cientista de Dados Sênior,TOTVS,,,,,,,1009111711794,"Detalhes da vaga

Acreditamos no poder transformador da tecnologia e na sua capacidade de contribuir para a construção de uma sociedade mais diversa e inclusiva. Como a maior empresa brasileira de tecnologia, temos o compromisso com uma política e programa de diversidade e inclusão para termos um ecossistema cada vez mais representativo, respeitoso e acolhedor.
O QUE VOCÊ VAI FAZER:
Analisar dados da carteira de clientes, buscando a identificação e segmentação nos diferentes perfis;
Desenvolver modelos preditivos com base nos comportamentos;
Tratar os dados existentes ou externos para produzir conhecimento que possa subsidiar a tomada de decisões;
Realizar estudos estatísticos por análises de dados avançados para criar hipóteses para fidelizar, reter e conquistar mais clientes;
Elaborar apresentações para explorar e expor os resultados dos modelos e descobertas;
Desenvolver hipóteses por análise de dados avançados;
Tratamento, limpeza e exploração de dados;
Qualificar os dados;
Criar Dash com ferramentas de Mercado sobre estudo de nossos clientes;
Apoiar na evolução de nossos painéis já criados.
Requisitos
Escolaridade miníma
Formação superior completa
Outros requisitos
O QUE ESPERAMOS DE VOCÊ:
Linguagens de programação como Python, R, SQL e Java entre outros.
Conhecimento de técnicas de análise de dados, como estatística, aprendizado de máquina e inteligência artificial.
Atuação com Zendesk.
Experiência em suporte a clientes.
INFORMAÇÕES ADICIONAIS:
Oportunidade para atuar 2 dias presenciais na TOTVS Matriz - SP.
Benefícios
Assistência médica
Assistência odontológica
Auxílio-creche
Convênio com empresas parceiras
Participação nos Lucros ou Resultados
Previdência privada
Seguro de vida
Vale-refeição
Vale-transporte
Bicicletário"
Glassdoor,"https://www.glassdoor.com.br/job-listing/cientista-de-dados-s%C3%AAnior-trabalho-remoto-bairesdev-JV_IC2494161_KO0,41_KE42,51.htm?jl=1008399199925",www.glassdoor.com.br/Vaga/index.htm/partner/jobListing.htm?pos=101&ao=1136043&s=344&guid=0000018db6d91134ba6003970acbfcc2&src=GD_JOB_VIEW&t=NS&vt=w&cs=1_2ecdf951&cb=1708169695635&jobListingId=1008399199925&jrtk=5-yul1-3-1hmrdi4acjkus801,2024-02-11,,2024-02-17,cientista de dados,,Cientista de Dados Sênior - Trabalho Remoto,BairesDev,Brasília,Distrito Federal,,,,,1008399199925,"A Bairesdev tem orgulho de ser a empresa que mais cresce nas Américas. Nossos times são formados por pessoas do mundo todo e somos tão fortes quanto nossas equipes multiculturais. Para entregar consistentemente as soluções da mais alta qualidade, contratamos apenas o 1% entre os melhores talentos e os desafiamos em projetos empolgantes.
Cientista de Dados Sênior na BairesDev

Estamos à procura de um excelente Cientista de Dados Sênior para se juntar à Equipe de Pesquisa e Desenvolvimento (P&D) da BairesDev. Esse profissional usará técnicas de dados e aprendizado de máquina para ajudar o negócio a automatizar e dimensionar a tomada de decisões, principalmente produzindo relatórios avançados de análise de dados e modelos baseados em dados para inferir e prever padrões.

O que você vai fazer:
Ajudar a melhorar a alfabetização de dados e o ambiente analítico geral em toda a empresa.Manipular dados estruturados e não estruturados usando SQL e outras linguagens de programação.Realizar análises avançadas de dados e reportar resultados.Contar a história por trás dos dados de forma convincente para os empresários.Construir modelos preditivos e algoritmos de aprendizado de máquina.Combinar modelos através de modelagem de conjunto.Propor soluções e estratégias para os desafios do negócio.Ajudar a projetar e executar experimentos para teste de hipóteses.Participar ativamente nas discussões e decisões sobre todo o capítulo de Data Science / Data Engineer.Colaborar com gerentes de produtos de dados para criar produtos de dados incríveis.Trabalhar com a gestão para priorizar as necessidades de negócios e informações.Ajudar a difundir uma mentalidade orientada por dados e a melhorar a alfabetização de dados. Seja um evangelista de dados.

Esperamos que você tenha:
3+ anos de experiência com Data Science / Data Engineer, machine learning, IA, estatística e outras áreas relacionadas.Proficiência com SQL.Proficiência em Python, R ou outra linguagem de programação importante.Excelentes habilidades de comunicação e capacidade de colaborar e construir relacionamentos com usuários não técnicos.Forte conhecimento de probabilidade e estatística, incluindo desenho experimental, modelagem preditiva, otimização e inferência causal.Experiência prática com aprendizado de máquina, como classificação de regressão, clustering, redes neurais, seleção de recursos, validação cruzada, maldição da dimensionalidade, compensação de variância de viés, explicabilidade do modelo, PNL, etc.Nível de Inglês avançado.

Desejável:
Experiência com análise de pessoas ou crescimento.Experiência com ferramentas de visualização de dados.Bom entendimento dos desafios de engenharia para implantação de sistemas de aprendizado de máquina para produção.
Como a BairesDev facilita sua vida:
100% trabalho remoto.Disponibilizamos hardware necessário para o seu trabalho remoto (home office).Horários flexíveis.Licença paternidade, maternidade, férias e feriados remunerados.Ambiente de trabalho diversificado e multicultural.Um ambiente inovador com a estrutura e os recursos de uma multinacional líder.
- Excelente remuneração - acima da média do mercado.
Possibilidade de crescimento profissional rápido, compatível com a sua curva de aprendizagem.
Nosso pessoal trabalha remotamente com uma cultura consistente e robusta que promove a diversidade e o trabalho em equipe. Para continuar sendo a empresa líder em desenvolvimento de software nas Américas, queremos garantir que cada membro da BairesDev tenha as melhores oportunidades de crescimento e desenvolvimento profissional em um ambiente diversificado, acolhedor e inovador. Cada pessoa do time traz algo essencial para a BairesDev! Queremos ouvir a sua história.
Candidate-se agora!"
Glassdoor,"https://www.glassdoor.com.br/job-listing/analista-de-dados-innolevels-leveraging-your-business-JV_IC2402386_KO0,17_KE18,53.htm?jl=1009029205897",www.glassdoor.com.br/Vaga/index.htm/partner/jobListing.htm?pos=101&ao=1136043&s=344&guid=0000018db6d9733ba7c52549194dfe2a&src=GD_JOB_VIEW&t=NS&vt=w&cs=1_1df7d174&cb=1708169720732&jobListingId=1009029205897&jrtk=5-yul1-3-1hmrdisqujqtr801,2024-02-13,,2024-02-17,analista de dados,,Analista de Dados,innolevels - Leveraging your Business,Rio de Janeiro,RJ,,,,,1009029205897,"
Execução de projetos de transformação digital, desenvolvendo ferramentas inovadoras para entregar a melhor experiência para os usuários da plataforma de uma grande empresa de telecomunicação. Entendemos que para essa evolução, é necessário o conhecimento em: - Power BI; - SQL; - ETL; - Construção de Dashboards e análise de dados. Tem interesse? Candidate-se a nossa vaga que teremos o grande prazer de dividir essa experiência com você.

“Grandes coisas em termos de negócios nunca são feitas por uma pessoa. São feitas por uma equipe de pessoas”."
